iso3,country,hdicode,region,gii_rank_2019,gii_1995,gii_2000,gii_2005,gii_2010,gii_2011,gii_2012,gii_2013,gii_2014,gii_2015,gii_2016,gii_2017,gii_2018,gii_2019,mmr_1995,mmr_2000,mmr_2005,mmr_2010,mmr_2011,mmr_2012,mmr_2013,mmr_2014,mmr_2015,mmr_2016,mmr_2017,abr_1995,abr_2000,abr_2005,abr_2010,abr_2011,abr_2012,abr_2013,abr_2014,abr_2015,abr_2016,abr_2017,abr_2018,abr_2019,se_f_1995,se_f_2000,se_f_2005,se_f_2010,se_f_2011,se_f_2012,se_f_2013,se_f_2014,se_f_2015,se_f_2016,se_f_2017,se_f_2018,se_f_2019,se_m_1995,se_m_2000,se_m_2005,se_m_2010,se_m_2011,se_m_2012,se_m_2013,se_m_2014,se_m_2015,se_m_2016,se_m_2017,se_m_2018,se_m_2019,pr_f_1995,pr_f_1997,pr_f_2000,pr_f_2005,pr_f_2010,pr_f_2011,pr_f_2012,pr_f_2013,pr_f_2014,pr_f_2015,pr_f_2016,pr_f_2017,pr_f_2018,pr_f_2019,pr_m_1995,pr_m_1997,pr_m_2000,pr_m_2005,pr_m_2010,pr_m_2011,pr_m_2012,pr_m_2013,pr_m_2014,pr_m_2015,pr_m_2016,pr_m_2017,pr_m_2018,pr_m_2019,lfpr_f_1995,lfpr_f_2000,lfpr_f_2005,lfpr_f_2010,lfpr_f_2011,lfpr_f_2012,lfpr_f_2013,lfpr_f_2014,lfpr_f_2015,lfpr_f_2016,lfpr_f_2017,lfpr_f_2018,lfpr_f_2019,lfpr_m_1995,lfpr_m_2000,lfpr_m_2005,lfpr_m_2010,lfpr_m_2011,lfpr_m_2012,lfpr_m_2013,lfpr_m_2014,lfpr_m_2015,lfpr_m_2016,lfpr_m_2017,lfpr_m_2018,lfpr_m_2019
ERI,Eritrea,Low,SSA,,,,,,,,,,,,,,,1470,1280,804,567,558,549,540,530,518,498,480,109.922,97.91,82.385,76.079,72.9266,69.7742,66.6218,63.4694,60.317,58.376,56.435,54.494,52.553,,,,,,,,,,,,,,,,,,,,,,,,,,,20.95238095,20.95238095,14.66666667,22,22,22,22,22,22,22,22,22,22,22,79.04761905,79.04761905,85.33333333,78,78,78,78,78,78,78,78,78,78,78,70.484,70.109,69.973,71.39,71.571,71.693,71.747,71.721,71.617,71.632,71.583,71.512,71.459,90.271,86.851,80.295,83.018,83.891,84.645,85.282,85.784,86.126,85.952,85.787,85.589,85.474
ESP,Spain,Very High,,16,0.157,0.119,0.117,0.115,0.108,0.103,0.097,0.09,0.084,0.08,0.078,0.076,0.07,6,5,5,4,4,4,4,4,4,4,4,9.679,8.036,10.17,12.74,11.9864,11.2328,10.4792,9.7256,8.972,8.66025,8.3485,8.03675,7.725,42.87,54.87,58.36012,64.20524,65.64454,66.78987,68.84124,70.89261,72.16676,73.31044,74.34022,75.37,75.37,50.14,60.96,65.83916,70.74059,72.13458,73.1532,74.93289,76.71258,77.63347,78.44979,79.343665,80.23754,80.23754,19.86754967,19.86754967,25.94417077,30.54187192,34.09461664,34.91027732,35.22727273,35.22727273,37.01298701,37.98701299,38.63636364,38.63636364,38.63636364,41.85667752,80.13245033,80.13245033,74.05582923,69.45812808,65.90538336,65.08972268,64.77272727,64.77272727,62.98701299,62.01298701,61.36363636,61.36363636,61.36363636,58.14332248,36.702,40.606,46.136,51.736,52.331,52.855,52.847,52.628,52.602,52.634,52.277,52.006,51.853,64.128,65.734,68.021,67.145,66.525,66.024,65.397,64.898,64.696,64.304,64.02,63.822,63.429
EST,Estonia,Very High,,21,0.392,0.291,0.227,0.176,0.192,0.18,0.162,0.171,0.144,0.142,0.118,0.105,0.086,46,29,18,11,13,12,10,11,10,11,9,47.089,30.368,23.519,22.563,21.2766,19.9902,18.7038,17.4174,16.131,14.02275,11.9145,9.80625,7.698,74.65,85.91308,95.97515857,100,100,100,99.99999,100,100,100,100,100,100,75.26,88.98878,96.85393714,100,100.00001,100,99.99999,100,100,100,100,100,100,10.89108911,10.89108911,17.82178218,18.81188119,22.77227723,19.8019802,20.79207921,20.79207921,19,23.76237624,23.76237624,26.73267327,26.73267327,29.7029703,89.10891089,89.10891089,82.17821782,81.18811881,77.22772277,80.1980198,79.20792079,79.20792079,81,76.23762376,76.23762376,73.26732673,73.26732673,70.2970297,53.663,52.612,53.496,55.023,55.56,55.36,55.337,54.589,55.991,56.472,57.15,57.382,57.102,71.654,66.637,64.737,67.07,67.897,68.287,68.319,68.901,69.516,70.665,71.468,71.314,71.008
ETH,Ethiopia,Low,SSA,125,,,0.622,0.587,0.583,0.579,0.57,0.561,0.534,0.528,0.522,0.519,0.517,1050,1030,865,597,558,527,498,472,446,422,401,117.674,117.536,106.049,86.623,84.894,83.165,81.436,79.707,77.978,75.16525,72.3525,69.53975,66.727,,,3.328432564,6.990715,7.79092,8.682721931,9.676605605,10.78425599,10.78425599,11.15443806,11.15443806,11.47565483,11.47565483,,,6.294325414,16.0566425,18.23809,20.71590788,20.71590788,20.71590788,20.71590788,21.42700539,21.42700539,22.0440435,22.57430843,,,,20.97264438,25.51319648,25.51319648,25.51319648,25.51319648,25.51319648,37.28571429,37.28571429,37.28571429,37.28571429,37.28571429,,,,79.02735562,74.48680352,74.48680352,74.48680352,74.48680352,74.48680352,62.71428571,62.71428571,62.71428571,62.71428571,62.71428571,67.256,71.065,74.435,73.764,73.642,73.527,73.419,73.368,73.325,73.305,73.299,73.319,73.441,89.938,89.818,90.066,88.888,88.644,88.406,88.177,87.606,87.047,86.602,86.157,85.758,85.755
FIN,Finland,Very High,,7,0.101,0.085,0.088,0.077,0.073,0.07,0.067,0.064,0.063,0.06,0.057,0.054,0.047,6,6,5,4,4,4,4,3,3,3,3,11.38,9.464,10.591,9.231,8.8694,8.5078,8.1462,7.7846,7.423,7.0205,6.618,6.2155,5.813,86.15278388,94.64252087,99.99999,100,100,100,100,100,100,100,100,100,100,89.40000894,96.35385579,100.00001,100,100,100,99.99999,99.99999,100,100,100,100,100,33.5,33.5,36.5,37.5,40,42.5,42.5,42.5,42.5,41.5,41.5,42,42,47,66.5,66.5,63.5,62.5,60,57.5,57.5,57.5,57.5,58.5,58.5,58,58,53,54.754,56.187,56.62,56.026,55.817,55.954,55.513,55.521,55.541,54.946,55.121,55.74,55.542,65.305,66.205,64.824,63.862,64.046,63.571,62.78,62.408,62.3,62.171,62.506,63.021,62.773
FJI,Fiji,High,EAP,84,0.506,,0.435,,,,,0.377,0.371,0.374,0.38,0.369,0.37,61,51,46,39,38,38,37,36,35,34,34,62.913,45.451,41.166,45.243,45.375,45.507,45.639,45.771,45.903,46.7655,47.628,48.4905,49.353,44.41406854,48.58714182,54.96446909,64.33185,66.604,69.028,71.452,73.876,73.876,76.3,79.38022,79.38022,79.38022,47.77444678,50.895139,56.053704,61.06077656,62.8659858,64.67119505,66.4764043,66.4764043,66.4764043,68.282,77.99133,77.99133,78.18903504,5.769230769,5.769230769,,9.708737864,,,,,14,16,16,16,19.60784314,19.60784314,94.23076923,94.23076923,,90.29126214,,,,,86,84,84,84,80.39215686,80.39215686,39.548,36.724,34.936,43.114,44.891,43.711,42.577,41.471,40.089,38.607,38.475,38.338,38.475,79.253,77.653,78.398,79.2,79.508,78.581,77.604,76.556,77.041,77.264,76.988,76.694,76.471
FRA,France,Very High,,8,0.185,0.162,0.138,0.107,0.105,0.091,0.089,0.087,0.085,0.081,0.061,0.055,0.049,12,10,9,9,9,9,9,8,8,8,8,8.038,7.219,7.927,7.248,7.128,7.008,6.888,6.768,6.648,6.16775,5.6875,5.20725,4.727,57.09,67.6,71.34105,76.40738,77.1974,78.01226,78.71216,79.71747,80.55189,80.99573,81.69858,81.69858,81.69858,63.556938,71.541628,78.41685,82.33791,82.72078,83.20758,84.46536,85.51405,85.64227,86.27086,86.59769,86.59769,86.77103016,9.020044543,9.020044543,9.131403118,13.92265193,20,20.12987013,25.10822511,25.10822511,25.72972973,25.72972973,25.72972973,35.35135135,35.71428571,36.86486486,90.97995546,90.97995546,90.86859688,86.07734807,80,79.87012987,74.89177489,74.89177489,74.27027027,74.27027027,74.27027027,64.64864865,64.28571429,63.13513514,47.673,48.465,49.884,50.812,50.69,50.875,51.054,50.835,50.754,50.762,50.575,50.838,50.752,63.161,62.934,62.47,61.891,61.478,61.644,61.37,60.768,60.61,60.372,60.294,60.21,59.906
FSM,Micronesia (Federated States of),Medium,EAP,,,,,,,,,,,,,,,172,154,133,110,106,103,99,96,95,90,88,48.363,44.822,34.263,25.426,24.052,22.678,21.304,19.93,18.556,17.398,16.24,15.082,13.924,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,,,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,High,SSA,128,0.622,0.603,0.581,0.553,0.551,0.545,0.541,0.541,0.537,0.536,0.53,,0.525,411,380,348,314,304,292,277,267,261,256,252,177.762,151.7,129.708,116.777,114.6548,112.5326,110.4104,108.2882,106.166,103.68125,101.1965,98.71175,96.227,35.98,42.69,48.76,53.89,55.992,58.094,60.196,62.298,62.298,64.4,65.6,65.6,66.23708064,23.48,29.5,32.54,36.12,38.576,41.032,43.488,45.944,45.944,48.4,49.78,49.78,50.63732373,9.56937799,9.56937799,10.90047393,11.9047619,16.05504587,15.76576577,16.66666667,16.66666667,15.76576577,15.98173516,15.98173516,17.35159817,,17.94871795,90.43062201,90.43062201,89.09952607,88.0952381,83.94495413,84.23423423,83.33333333,83.33333333,84.23423423,84.01826484,84.01826484,82.64840183,,82.05128205,35.685,36.512,38.027,40.239,40.565,40.978,41.449,41.972,42.524,42.756,42.971,43.15,43.526,58.11,57.911,57.462,58.412,58.308,58.422,58.701,59.168,59.734,60.445,61.125,61.683,61.833
GBR,United Kingdom,Very High,,31,0.23,0.201,0.2,0.183,0.176,0.172,0.167,0.161,0.147,0.142,0.131,0.124,0.118,10,10,11,10,9,8,8,8,8,7,7,30.513,30.317,26.603,25.358,23.9822,22.6064,21.2306,19.8548,18.479,17.20175,15.9245,14.64725,13.37,72.74131126,79.46446564,88.83726099,99.74094,99.81787,81.58054,81.44676,81.33711,79.99663,78.65615,77.31567,77.42981685,78.00672324,58.66,62.9,83.42538333,99.87634,99.89578,84.92337,84.54325,84.57251,84.57251,85.22327178,78.90127,78.90127,79.30673116,11.57834101,11.57834101,16.98113208,18.50768105,20.96890817,22.0717671,22.55319149,22.55319149,23.02309307,26.74581006,27.3480663,28.52233677,28.93823734,28.90896456,88.42165899,88.42165899,83.01886792,81.49231895,79.03109183,77.9282329,77.44680851,77.44680851,76.97690693,73.25418994,72.6519337,71.47766323,71.06176266,71.09103544,51.819,53.57,54.732,55.5,55.581,55.856,56.239,56.54,56.691,56.949,57.262,57.57,57.647,70.575,69.923,69.23,68.582,68.328,68.54,68.469,68.346,68.302,68.323,67.993,68.138,68.11
GEO,Georgia,Very High,ECA,76,0.431,0.409,0.391,0.406,0.406,0.364,0.366,0.362,0.359,0.335,0.329,0.327,0.331,39,31,39,32,32,30,30,29,27,26,25,68.921,60.544,48.351,50.756,50.9344,51.1128,51.2912,51.4696,51.648,50.338,49.028,47.718,46.408,86.23787432,88.68581612,91.19475,93.7121,94.21557,94.71904,95.42619,96.13334,96.77609,97.41884,97.22793,97.22793,97.22793,89.9459522,91.89515307,93.881453,95.872858,96.271139,96.66942,97.03705,97.40468,97.99285,98.58102,97.87113,97.87113,98.55128227,6.926406926,6.926406926,7.234042553,9.361702128,6.52173913,6.569343066,12,12,12,11.33333333,16,16,16,14.76510067,93.07359307,93.07359307,92.76595745,90.63829787,93.47826087,93.43065693,88,88,88,88.66666667,84,84,84,85.23489933,61.418,54.86,55.914,56.394,57.196,57.717,56.741,57.828,59.064,57.504,57.464,57.414,57.423,75.607,73.488,73.571,77.739,78.952,80.384,80.343,80.786,80.917,80.94,80.849,80.737,80.841
GHA,Ghana,Medium,SSA,135,0.632,,0.574,0.577,0.576,,0.559,0.557,0.556,0.553,0.542,0.54,0.538,576,484,371,339,339,336,331,325,320,314,308,103.838,90.712,79.465,73.747,73.3528,72.9586,72.5644,72.1702,71.776,70.48475,69.1935,67.90225,66.611,32.19,36.84,40.32,45.20022,46.86022808,48.52023616,50.18024424,51.84025232,51.84025232,53.5,54.62,55.74,55.74,59.96,58.82,60.89,64.66432,65.248,66.336,67.424,68.512,68.512,69.6,70.36,71.12,71.63471177,9,9,,10.86956522,8.260869565,8.260869565,,10.90909091,10.90909091,10.90909091,10.90909091,12.72727273,12.72727273,13.09090909,91,91,,89.13043478,91.73913043,91.73913043,,89.09090909,89.09090909,89.09090909,89.09090909,87.27272727,87.27272727,86.90909091,72.538,72.81,69.683,66.894,66.271,65.617,64.935,64.231,63.508,63.602,63.688,63.779,63.629,77.256,76.66,74.159,73.331,73.193,73.034,72.856,72.663,72.457,72.362,72.142,71.933,71.891
GIN,Guinea,Low,SSA,,,,,,,,,,,,,,,853,1020,920,747,748,744,731,767,699,621,576,180.301,174.368,165.284,155.379,153.4778,151.5766,149.6754,147.7742,145.873,143.22825,140.5835,137.93875,135.294,,,,,,,,,,,,,,,,,,,,,,,,,,,7.01754386,7.01754386,8.771929825,19.29824561,,,,,21.92982456,21.92982456,21.92982456,21.92982456,21.92982456,22.80701754,92.98245614,92.98245614,91.22807018,80.70175439,,,,,78.07017544,78.07017544,78.07017544,78.07017544,78.07017544,77.19298246,62.891,62.68,62.436,62.476,62.496,62.523,62.56,62.592,62.616,62.617,62.617,62.65,62.699,65.779,65.603,64.864,63.642,63.332,62.983,62.65,62.303,61.95,61.321,60.656,60.14,60.205
GMB,Gambia,Low,SSA,148,0.757,0.75,0.654,0.658,0.654,0.651,0.647,0.634,0.631,0.627,0.618,0.614,0.612,1000,932,756,661,656,650,644,637,625,611,597,152.424,132.957,117.694,103.45,100.9386,98.4272,95.9158,93.4044,90.893,87.716,84.539,81.362,78.185,8.54,9.73,13.21,17.38,19.364,21.348,23.332,25.316,25.316,27.3,29.02,30.74,31.46365385,18.66,22.8,27.16,31.48,33.384,35.288,37.192,39.096,39.096,41,42.3,43.6,44.352595,2.040816327,2.040816327,2.040816327,13.20754717,7.547169811,7.547169811,7.547169811,7.547169811,9.433962264,9.433962264,9.433962264,10.34482759,10.34482759,10.34482759,97.95918367,97.95918367,97.95918367,86.79245283,92.45283019,92.45283019,92.45283019,92.45283019,90.56603774,90.56603774,90.56603774,89.65517241,89.65517241,89.65517241,46.102,47.21,48.37,49.655,49.952,50.262,50.355,50.507,50.622,50.752,50.867,50.977,51.179,70.897,69.849,68.654,67.972,67.954,67.973,67.85,67.89,67.768,67.915,67.929,67.853,67.989
GNB,Guinea-Bissau,Low,SSA,,,,,,,,,,,,,,,1260,1210,979,779,762,744,726,711,694,679,667,138.269,134.45,127.345,120.13,117.664,115.198,112.732,110.266,107.8,107.05575,106.3115,105.56725,104.823,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,7.843137255,14,10,10,14,14,13.7254902,13.7254902,13.7254902,13.7254902,13.7254902,13.7254902,90,90,92.15686275,86,90,90,86,86,86.2745098,86.2745098,86.2745098,86.2745098,86.2745098,86.2745098,64.839,64.634,64.799,65.106,65.163,65.287,65.391,65.504,65.583,65.636,65.69,65.754,65.835,81.672,80.568,79.386,78.701,78.693,78.793,78.822,78.864,78.818,78.805,78.752,78.679,78.653
GNQ,Equatorial Guinea,Medium,SSA,,,,,,,,,,,,,,,742,454,344,308,308,305,300,295,296,301,301,196.258,189.407,178.789,174.589,173.0264,171.4638,169.9012,168.3386,166.776,163.9875,161.199,158.4105,155.622,,,,,,,,,,,,,,,,,,,,,,,,,,,8.75,8.75,5,18,10,10,10,10.28571429,18.28571429,19.65317919,19.65317919,,18.02325581,19.18604651,91.25,91.25,95,82,90,90,90,89.71428571,81.71428571,80.34682081,80.34682081,,81.97674419,80.81395349,50.622,50.926,52.304,53.955,53.994,54.115,54.321,54.601,54.929,54.733,54.645,54.665,54.775,69.099,66.441,67.058,67.734,67.412,67.182,67.199,67.45,67.805,67.284,66.897,66.813,67.073
GRC,Greece,Very High,,29,0.284,0.221,0.179,0.157,0.148,0.135,0.132,0.127,0.124,0.126,0.129,0.125,0.116,4,3,3,3,3,3,3,3,3,3,3,17.347,11.696,10.592,11.313,10.7582,10.2034,9.6486,9.0938,8.539,8.21,7.881,7.552,7.223,41.86,48.48,53.85407,59.50699,60.550855,61.59472,62.638585,63.68245,65.44867,61.50725,61.50725,62.01142044,62.01142044,52.11,57.56402,63.01804,66.99936,68.1679225,69.336485,70.5050475,71.67361,71.67361,73.20012,73.20012,73.20012,73.20012,6.333333333,6.333333333,8.666666667,13,17.33333333,18.66666667,21,21,21,19.66666667,19.66666667,18.33333333,18.66666667,20.66666667,93.66666667,93.66666667,91.33333333,87,82.66666667,81.33333333,79,79,79,80.33333333,80.33333333,81.66666667,81.33333333,79.33333333,36.942,40.86,42.784,44.122,43.958,44.259,44.102,44.229,44.844,45.034,44.745,44.392,44.168,66.751,66.194,65.012,63.15,62.183,61.468,61.143,60.336,59.939,59.849,59.966,60.21,59.779
GRD,Grenada,High,LAC,,,,,,,,,,,,,,,49,38,33,29,28,28,27,26,25,25,25,83.455,61.466,51.153,42.408,40.998,39.588,38.178,36.768,35.358,33.81275,32.2675,30.72225,29.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.85714286,32.14285714,21.42857143,17.85714286,17.85714286,25,25,25,25,25,39.28571429,39.28571429,,,82.14285714,67.85714286,78.57142857,82.14285714,82.14285714,75,75,75,75,75,60.71428571,60.71428571,,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,Medium,LAC,119,0.59,0.59,0.585,0.549,0.539,0.528,0.528,0.511,0.509,0.5,0.505,0.503,0.479,187,161,142,129,122,118,113,107,103,98,95,128.295,118.849,106.624,89.13,87.0182,84.9064,82.7946,80.6828,78.571,76.66075,74.7505,72.84025,70.93,13.73,15.5,13.3336375,18.34857333,19.78505667,21.22154,22.67562,37.38157,37.38157,38.40038634,38.40038634,38.40038634,38.60151499,16.08,18.13415,17.777275,24.20797667,25.91386333,27.61975,28.70845,36.235,36.235,37.22256713,37.22256713,37.22256713,37.54914304,12.5,12.5,8.849557522,8.227848101,12.02531646,13.29113924,13.29113924,13.29113924,13.29113924,13.92405063,13.92405063,12.65822785,12.65822785,19.375,87.5,87.5,91.15044248,91.7721519,87.97468354,86.70886076,86.70886076,86.70886076,86.70886076,86.07594937,86.07594937,87.34177215,87.34177215,80.625,39.622,41.244,41.629,40.519,40.297,46.099,40.645,40.834,39.078,40.611,39.695,39.915,39.914,86.106,85.411,85.325,84.251,84.039,87.696,83.549,84.406,85.517,84.887,86.354,86.35,86.345
GUY,Guyana,Medium,LAC,115,,0.55,0.525,0.498,0.492,0.491,0.483,0.479,0.477,0.472,0.466,0.463,0.462,220,231,223,179,180,185,175,174,172,170,169,88.814,92.679,100.18,92.579,90.6756,88.7722,86.8688,84.9654,83.062,80.892,78.722,76.552,74.382,40.61,51.4,55.93,60.31,62.268,64.226,66.184,68.142,68.142,70.1,70.92,70.92,70.92,34.13,39.02,42.59,47.78,49.144,50.508,51.872,53.236,53.236,54.6,55.52,55.52,56.44,,,18.46153846,30.76923077,30,31.34328358,31.34328358,31.34328358,31.34328358,30.43478261,30.43478261,31.88405797,31.88405797,31.88405797,,,81.53846154,69.23076923,70,68.65671642,68.65671642,68.65671642,68.65671642,69.56521739,69.56521739,68.11594203,68.11594203,68.11594203,38.177,35.358,36.003,39.277,39.89,40.523,41.161,41.79,42.405,43.066,43.723,43.798,43.943,81.086,79.664,76.982,73.767,72.973,72.211,71.476,70.763,70.065,69.429,68.811,68.575,68.476
HKG,"Hong Kong, China (SAR)",Very High,,,,,,,,,,,,,,,,,,,,,,,,,,,6.497,5.328,3.724,3.005,3.0082,3.0114,3.0146,3.0178,3.021,2.942,2.863,2.784,2.705,55.4,61.100584,66.351314,70.78609,72.23107,73.03965,73.84823,74.65681,75.65293,75.65293,76.58528,76.58528,77.0914338,65.87481667,70.460436,74.746256,77.75311,79.20013,79.75692667,80.31372333,80.87052,81.83093,81.83093,81.83093,82.9151,82.9151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.35,49.582,51.742,51.415,52.408,53.007,53.992,54.067,54.274,54.24,54.318,54.252,53.984,76.688,73.623,71.119,68.125,68.039,68.415,68.947,68.521,68.519,68.335,68.073,67.864,67.507
HND,Honduras,Medium,LAC,100,,0.521,0.464,0.47,0.469,0.466,,0.434,0.427,0.424,,0.425,0.423,112,85,77,74,72,70,69,68,67,65,65,127.482,123.446,111.259,95.206,92.1836,89.1612,86.1388,83.1164,80.094,78.2985,76.503,74.7075,72.912,21.77,23.75,26.33,27.964825,28.2471,27.95312,30.665495,33.37787,33.65109,34.22994,33.21761,32.20528,32.20528,14.65105638,16.11683132,18.22513774,24.7102675,26.68368,25.83206,28.456625,31.08119,30.66935,32.61259,31.105905,29.59922,29.59922,,,9.375,23.4375,17.96875,19.53125,19.53125,,25.78125,25.78125,25.78125,25.78125,21.09375,21.09375,,,90.625,76.5625,82.03125,80.46875,80.46875,,74.21875,74.21875,74.21875,,78.90625,78.90625,45.985,44.85,43.007,44.52,41.586,40.417,44.007,46.708,48.319,48.14,47.725,51.877,51.987,88.73,88.22,85.519,84.812,83.425,82.706,84.697,84.753,85.289,84.629,86.719,86.025,85.927
HRV,Croatia,Very High,,29,0.285,0.205,0.157,0.146,0.144,0.139,0.133,0.127,0.151,0.16,0.131,0.126,0.116,13,11,10,9,9,8,9,8,8,7,8,20.667,19.116,15.211,14.578,13.8968,13.2156,12.5344,11.8532,11.172,10.54925,9.9265,9.30375,8.681,55.23300431,68.64210612,76.9192,83.6443,84.98932,87.32640983,89.66349967,92.0005895,94.33767933,94.53178979,94.53178979,94.53178979,94.62314444,69.330068,82.615153,88.609226,92.780546,93.61481,94.42524227,95.23567453,96.0461068,96.85653907,96.93560563,96.93560563,96.93560563,97.42037796,7.179487179,7.179487179,16.05504587,21.71052632,23.52941176,23.8410596,23.8410596,23.8410596,23.8410596,15.23178808,12.58278146,18.54304636,18.54304636,20.52980132,92.82051282,92.82051282,83.94495413,78.28947368,76.47058824,76.1589404,76.1589404,76.1589404,76.1589404,84.76821192,87.41721854,81.45695364,81.45695364,79.47019868,45.922,45.317,46.204,46.193,44.545,44.396,44.357,46.141,46.545,45.167,45.433,45.524,45.446,66.044,62.853,61.117,59.827,59.827,58.874,57.64,58.756,59.169,57.837,58.424,57.781,57.49
HTI,Haiti,Low,LAC,152,,,0.593,,0.632,0.637,0.635,0.633,0.632,0.776,0.639,0.638,0.636,509,437,459,506,496,500,496,492,488,489,480,74.274,71.333,66.643,62.423,61.4516,60.4802,59.5088,58.5374,57.566,56.0935,54.621,53.1485,51.676,13.46,16.65,19.68,22.4,23.22,24.04,24.86,25.68,25.68,26.5,26.86,26.86,26.86,21.94,26.9,31.37,35.18,36.064,36.948,37.832,38.716,38.716,39.6,39.94,39.94,40.02036707,,,,9.090909091,,4,3.47826087,3.47826087,3.47826087,3.47826087,0.1,2.739726027,2.739726027,2.739726027,,,,90.90909091,,96,96.52173913,96.52173913,96.52173913,96.52173913,99.9,97.26027397,97.26027397,97.26027397,57.867,57.499,59.134,59.337,59.925,60.248,60.727,61.055,61.209,61.368,61.499,61.665,61.874,74.091,69.476,70.083,71.561,71.517,71.655,71.68,71.795,72.011,72.232,72.458,72.645,72.798
HUN,Hungary,Very High,,51,0.322,0.293,0.265,0.244,0.247,0.241,0.243,0.235,0.235,0.239,0.243,0.23,0.233,20,16,15,13,13,12,12,12,12,12,12,36.537,25.591,21.018,19.544,19.6982,19.8524,20.0066,20.1608,20.315,21.231,22.147,23.063,23.979,65.05,83.76,88.01029,97.38934,97.78841,97.88991,98.01698,95.56399,95.56399,95.72996,95.72996,96.26488,96.40590548,74.76,88.71333333,94.12253,98.52936,98.66582,98.72118,98.80745,97.89213,97.96878,97.96878,97.96878,98.23066,98.44703744,11.39896373,11.39896373,8.29015544,9.090909091,9.067357513,8.808290155,8.808290155,8.808290155,10.05025126,10.1010101,10.1010101,10.05025126,12.56281407,12.56281407,88.60103627,88.60103627,91.70984456,90.90909091,90.93264249,91.19170984,91.19170984,91.19170984,89.94974874,89.8989899,89.8989899,89.94974874,87.43718593,87.43718593,40.612,41.109,42.918,43.777,43.908,44.811,44.92,46.298,47.271,47.963,48.247,48.449,48.469,59.377,57.931,58.378,58.155,58.547,59.275,60.175,61.991,63.394,64.584,65.302,65.721,65.503
IDN,Indonesia,High,EAP,121,0.574,0.563,0.55,0.508,0.504,0.5,0.498,0.5,0.494,0.491,0.478,0.474,0.48,295,272,252,228,221,214,207,199,192,184,177,63.11,47.848,52.02,51.505,51.299,51.093,50.887,50.681,50.475,49.69975,48.9245,48.14925,47.374,17.43,26.09854545,34.76709091,38.63811,39.85383,40.87870333,41.90357667,42.92845,44.46585,44.46585,44.46585,46.84225,46.84225,27.59,36.39493636,45.19987273,48.369905,49.20932,50.05238333,50.89544667,51.73851,51.73851,53.21026,53.21026,55.05406,55.05406,11.4,11.4,8,11.27272727,18.03571429,18.21428571,18.57142857,18.57142857,16.93693694,17.11711712,17.11711712,19.82142857,19.82142857,17.39130435,88.6,88.6,92,88.72727273,81.96428571,81.78571429,81.42857143,81.42857143,83.06306306,82.88288288,82.88288288,80.17857143,80.17857143,82.60869565,49.078,51.061,45.512,51.231,51.113,51.606,50.82,50.669,50.629,50.774,52.034,52.999,53.08,82.617,83.607,82.421,83.164,83.441,83.866,83.286,82.956,82.358,81.576,81.984,82.016,81.885
IND,India,Medium,SA,123,0.696,,0.624,0.59,0.585,0.581,0.573,0.561,0.55,0.541,0.525,0.512,0.488,468,370,286,210,197,185,175,166,158,150,133,93.976,76.854,60.159,44.559,41.2576,37.9562,34.6548,31.3534,28.052,24.33325,20.6145,16.89575,13.177,15.02,23.5,21.82,27.04,27.6706,27.6706,27.6706,27.6706,27.6706,27.6706,27.6706,27.6706,27.6706,40.43,44.36690949,45.44668637,46.58733167,47.0304,47.0304,47.0304,47.0304,47.0304,47.0304,47.0304,47.0304,47.0304,7.341772152,7.341772152,,9.299363057,10.67344346,10.91370558,10.88607595,10.88607595,11.83206107,12.21374046,11.68996188,11.57760814,11.68164313,13.48600509,92.65822785,92.65822785,,90.70063694,89.32655654,89.08629442,89.11392405,89.11392405,88.16793893,87.78625954,88.31003812,88.42239186,88.31835687,86.51399491,30.605,30.413,31.792,25.68,24.253,22.893,22.478,22.087,21.717,21.364,21.029,20.711,20.524,84.138,82.956,82.889,80.514,80.029,79.544,79.02,78.483,77.933,77.352,76.76,76.161,76.081
